H1	MT891293.1
H2	MT891294.1
H3	MT891295.1
H4	MT891296.1
H5	MT891297.1
H6	MT891298.1
H7	MT891299.1
H8	MT891300.1
H9	MT891307.1
H10	MT891308.1
H11	MT891301.1
H12	MT891302.1
H13	MT891303.1
H14	MT891304.1
H15	MT891309.1
H16	MT891305.1
H17	MT891306.1
H18	MT891310.1
H19	HQ992985.1
H20	HQ992977.1
H21	AY849729.1
H22	HQ992978.1
H23	HQ992973.1
H24	AY849725.1
H25	AF291584.2
H26	HQ992976.1
H27	AF291581.2
H28	HQ992984.1
H29	HQ992982.1
H30	HQ992980.1
H31	HQ992975.1
H32	HQ992974.1
H33	HQ992970.1
H34	HQ992969.1
H35	HQ992965.1
H36	AY849734.1
H37	AY849715.1
H38	AF291583.2
H39	HQ992983.1
H40	HQ992968.1
H41	AY849721.1
H42	AY849716.1
H43	AF291585.2
H44	AF291579.2
H45	HQ992967.1
H46	HQ992966.1
H47	AY849733.1
H48	AY849731.1
H49	AF291582.2
H50	HQ992971.1
H51	AF291586.2
H52	HQ992964.1
H53	HQ992981.1
