blank	MT891297.1	MT891294.1	HQ992985.1	MT891306.1	MT891295.1	MT891299.1	MT891302.1	MT891305.1	AY849729.1	HQ992977.1	MT891296.1	MT891301.1	MT891304.1	MT891303.1	AF291584.2	AY849725.1	HQ992973.1	HQ992978.1	AY849717.1	HQ992979.1	MT891310.1	HQ992976.1	AF291581.2	MT891298.1	AY849734.1	HQ992975.1	AF291583.2	AY849715.1	HQ992965.1	HQ992969.1	HQ992974.1	HQ992980.1	HQ992982.1	AY849732.1	HQ992984.1	AY849716.1	HQ992967.1	AF291579.2	AF291585.2	AF291580.2	AY849721.1	HQ992968.1	HQ992972.1	HQ992983.1	MT891308.1	MT891307.1	MT891300.1	MT891309.1	AF291582.2	HQ992970.1	AF291586.2	AY849731.1	AY849733.1	HQ992966.1	HQ992964.1	HQ992971.1	HQ992981.1	AY849718.1	AY849719.1	AY849730.1	AY849727.1
MT891297.1	0	4	7	7	7	8	9	9	14	14	9	12	13	13	14	15	14	13	19	15	15	16	14	11	20	17	16	17	15	15	15	17	17	21	17	22	18	18	16	16	16	18	18	18	18	15	13	18	19	16	19	19	19	18	20	21	22	26	29	29	31
MT891294.1	4	0	5	7	5	8	9	9	14	14	11	12	13	13	14	15	14	13	19	15	15	16	14	13	20	17	16	17	15	15	15	17	17	21	17	22	16	18	16	16	16	18	18	18	18	17	15	18	19	18	17	19	19	16	18	21	20	26	27	29	29
HQ992985.1	7	5	0	8	6	7	8	8	15	17	10	10	13	12	15	18	15	12	22	16	16	17	13	12	20	17	17	18	14	14	14	18	18	22	18	22	17	19	15	15	15	19	19	19	19	18	14	19	19	18	18	20	20	15	19	22	21	27	28	30	26
MT891306.1	7	7	8	0	6	3	4	4	8	10	8	6	8	8	14	11	13	11	15	9	9	10	12	10	17	13	13	13	13	11	11	14	13	15	14	18	12	14	12	12	12	14	12	12	14	14	12	15	15	15	13	16	13	17	14	16	16	20	23	23	32
MT891295.1	7	5	6	6	0	7	8	8	13	15	10	10	12	12	11	16	11	14	20	14	14	15	15	12	19	16	13	14	16	14	16	14	14	20	14	21	15	15	15	17	17	15	17	17	15	16	14	15	16	17	16	16	18	16	17	17	19	25	26	28	29
MT891299.1	8	8	7	3	7	0	3	3	9	11	9	5	8	7	15	12	14	12	16	10	10	11	13	11	18	14	14	14	14	12	12	15	14	16	15	19	13	15	13	13	13	15	13	13	15	15	13	16	16	16	14	17	14	18	15	17	17	21	24	24	31
MT891302.1	9	9	8	4	8	3	0	4	10	12	10	4	9	6	16	13	15	13	17	11	11	12	14	12	19	15	15	15	15	13	13	16	15	17	16	20	14	16	14	14	14	16	14	14	16	16	14	17	17	17	15	18	15	19	16	18	18	22	25	25	32
MT891305.1	9	9	8	4	8	3	4	0	10	12	10	6	9	8	16	13	15	13	17	11	11	12	14	12	19	15	15	15	15	13	13	16	15	16	16	20	14	16	14	14	14	16	14	14	16	16	14	17	17	17	15	18	15	19	16	18	18	22	25	25	32
AY849729.1	14	14	15	8	13	9	10	10	0	7	14	12	14	14	10	8	14	13	12	6	6	7	14	14	16	10	12	12	16	11	11	14	12	12	14	15	11	13	12	12	12	13	9	9	13	13	16	15	14	16	12	16	10	18	13	15	15	17	22	20	39
HQ992977.1	14	14	17	10	15	11	12	12	7	0	16	15	16	17	12	6	16	15	10	8	8	7	16	16	18	12	12	14	18	13	13	16	14	12	16	17	13	15	14	14	14	13	11	11	15	15	18	17	16	18	14	18	12	20	15	15	15	19	24	22	41
